,0
1322,Жилабыла
1323,мышка
1324,Мауси
1325,И
1326,вдруг
1327,увидала
1328,Котауси
1329,У
1330,Котауси
1331,злые
1332,глазауси
1333,И
1334,злыепрезлые
1335,зубауси
1336,Подбежала
1337,Котауси
1338,к
1339,Мауси
1340,И
1341,замахала
1342,хвостауси
1343,Ах
1344,Мауси
1345,Мауси
1346,Мауси
1347,Подойди
1348,ко
1349,мне
1350,милая
1351,Мауси
1352,Я
1353,спою
1354,тебе
1355,песенку
1356,Мауси
1357,Чудесную
1358,песенку
1359,Мауси
1360,Но
1361,ответила
1362,умная
1363,Мауси
1364,Ты
1365,меня
1366,не
1367,обманешь
1368,Котауси
1369,Вижу
1370,злые
1371,твои
1372,глазауси
1373,И
1374,злыепрезлые
1375,зубауси
1376,Так
1377,ответила
1378,умная
1379,Мауси
1380,И
1381,скорее
1382,бегом
1383,от
1384,Котауси
1385,Жил
1386,на
1387,свете
1388,человек
1389,Скрюченные
1390,ножки
1391,И
1392,гулял
1393,он
1394,целый
1395,век
1396,По
1397,скрюченной
1398,дорожке
1399,А
1400,за
1401,скрюченной
1402,рекой
1403,В
1404,скрюченном
1405,домишке
1406,Жили
1407,летом
1408,и
1409,зимой
1410,Скрюченные
1411,мышки
1412,И
1413,стояли
1414,у
1415,ворот
1416,Скрюченные
1417,ёлки
1418,Там
1419,гуляли
1420,без
1421,забот
1422,Скрюченные
1423,волки
1424,И
1425,была
1426,у
1427,них
1428,одна
1429,Скрюченная
1430,кошка
1431,И
1432,мяукала
1433,она
1434,Сидя
1435,у
1436,окошка
1437,А
1438,за
1439,скрюченным
1440,мостом
1441,Скрюченная
1442,баба
1443,По
1444,болоту
1445,босиком
1446,Прыгала
1447,как
1448,жаба
1449,И
1450,была
1451,в
1452,руке
1453,у
1454,ней
1455,Скрюченная
1456,палка
1457,И
1458,летела
1459,вслед
1460,за
1461,ней
1462,Скрюченная
1463,галка
1464,Робин
1465,Бобин
1466,Барабек
1467,Скушал
1468,сорок
1469,человек
1470,И
1471,корову
1472,и
1473,быка
1474,И
1475,кривого
1476,мясника
1477,И
1478,телегу
1479,и
1480,дугу
1481,И
1482,метлу
1483,и
1484,кочергу
1485,Скушал
1486,церковь
1487,скушал
1488,дом
1489,И
1490,кузницу
1491,с
1492,кузнецом
1493,А
1494,потом
1495,и
1496,говорит
1497,У
1498,меня
1499,живот
1500,болит
1501,Дженни
1502,туфлю
1503,потеряла
1504,Долго
1505,плакала
1506,искала
1507,Мельник
1508,туфельку
1509,нашёл
1510,И
1511,на
1512,мельнице
1513,смолол
1514,Мы
1515,едем
1516,едем
1517,едем
1518,В
1519,далёкие
1520,края
1521,Хорошие
1522,соседи
1523,Счастливые
1524,друзья
1525,Нам
1526,весело
1527,живётся
1528,Мы
1529,песенку
1530,поём
1531,И
1532,в
1533,песенке
1534,поётся
1535,О
1536,том
1537,как
1538,мы
1539,живём
1540,Красота
1541,Красота
1542,Мы
1543,везём
1544,с
1545,собой
1546,кота
1547,Чижика
1548,собаку
1549,Петькузабияку
1550,Обезьяну
1551,попугая
1552,Вот
1553,компания
1554,какая
1555,Когда
1556,живётся
1557,дружно
1558,Что
1559,может
1560,лучше
1561,быть
1562,И
1563,ссориться
1564,не
1565,нужно
1566,И
1567,можно
1568,всех
1569,любить
1570,Ты
1571,в
1572,дальнюю
1573,дорогу
1574,Бери
1575,с
1576,собой
1577,друзей
1578,Они
1579,тебе
1580,помогут
1581,И
1582,с
1583,ними
1584,веселей
1585,Красота
1586,Красота
1587,Мы
1588,везём
1589,с
1590,собой
1591,кота
1592,Чижика
1593,собаку
1594,Петькузабияку
1595,Обезьяну
1596,попугая
1597,Вот
1598,компания
1599,какая
1600,Мы
